          client-3775  [000]  3996.636197: function:             finish_task_switch <-- schedule
          client-3775  [000]  3996.636198: function:             _raw_spin_unlock_irq <-- finish_task_switch
          client-3775  [000]  3996.636198: function:             hrtimer_cancel <-- do_nanosleep
          client-3775  [000]  3996.636198: function:             hrtimer_try_to_cancel <-- hrtimer_cancel
          client-3775  [000]  3996.636199: function:             lock_hrtimer_base <-- hrtimer_try_to_cancel
          client-3775  [000]  3996.636199: function:             _raw_spin_lock_irqsave <-- lock_hrtimer_base
          client-3775  [000]  3996.636199: function:             _raw_spin_unlock_irqrestore <-- hrtimer_try_to_cancel
          client-3775  [000]  3996.636200: function:             destroy_hrtimer_on_stack <-- hrtimer_nanosleep
          client-3775  [000]  3996.636200: function:             _raw_spin_lock_irqsave <-- debug_object_free
          client-3775  [000]  3996.636200: function:             _raw_spin_unlock_irqrestore <-- debug_object_free
          client-3775  [000]  3996.636201: function:             _raw_spin_lock_irqsave <-- free_object
          client-3775  [000]  3996.636201: function:             _raw_spin_unlock_irqrestore <-- free_object
          client-3775  [000]  3996.636204: function:             sys_clock_gettime <-- syscall_call
          client-3775  [000]  3996.636204: function:             posix_ktime_get_ts <-- sys_clock_gettime
          client-3775  [000]  3996.636205: function:             ktime_get_ts <-- posix_ktime_get_ts
          client-3775  [000]  3996.636205: function:             read_hpet <-- ktime_get_ts
          client-3775  [000]  3996.636206: function:             set_normalized_timespec <-- ktime_get_ts
          client-3775  [000]  3996.636206: function:             copy_to_user <-- sys_clock_gettime
          client-3775  [000]  3996.636207: function:             might_fault <-- copy_to_user
          client-3775  [000]  3996.636207: function:             __might_sleep <-- might_fault
          client-3775  [000]  3996.636215: function:             smp_apic_timer_interrupt <-- apic_timer_interrupt
          client-3775  [000]  3996.636215: function:             native_apic_mem_write <-- smp_apic_timer_interrupt
          client-3775  [000]  3996.636216: function:             irq_enter <-- smp_apic_timer_interrupt
          client-3775  [000]  3996.636216: function:             rcu_irq_enter <-- irq_enter
          client-3775  [000]  3996.636216: function:             idle_cpu <-- irq_enter
          client-3775  [000]  3996.636217: function:             hrtimer_interrupt <-- smp_apic_timer_interrupt
          client-3775  [000]  3996.636217: function:             ktime_get <-- hrtimer_interrupt
          client-3775  [000]  3996.636217: function:             read_hpet <-- ktime_get
          client-3775  [000]  3996.636218: function:             _raw_spin_lock <-- hrtimer_interrupt
          client-3775  [000]  3996.636219: function:             __run_hrtimer <-- hrtimer_interrupt
          client-3775  [000]  3996.636219: function:             _raw_spin_lock_irqsave <-- debug_object_deactivate
          client-3775  [000]  3996.636220: function:             _raw_spin_unlock_irqrestore <-- debug_object_deactivate
          client-3775  [000]  3996.636220: function:             __remove_hrtimer <-- __run_hrtimer
          client-3775  [000]  3996.636220: function:             _raw_spin_unlock <-- __run_hrtimer
          client-3775  [000]  3996.636221: function:             tick_sched_timer <-- __run_hrtimer
          client-3775  [000]  3996.636221: function:             ktime_get <-- tick_sched_timer
